blockname,experiment,subject,date,round,session_name,procedure,exclude,exclude_note,roi_set,branch_id,region,input0,input1,clock_pin,channel_wavelength,input_power,channel_power,led_state,channel_color,tm_trim_start,tm_trim_end,tm_baseline,tm_post,signal_id01,signal_id02,control_id,smoothing_window,poly_degree_fitted_control,poly_degree_polyfit,baseline_fit,down_sampled_freq,peth_pre,peth_post,events_of_interest,events_manual_fn
2023_07_23_abo01,abo,abo01,7/23/2023,1,2023_07_23_abo_r01,multi_s,0,NA,dual,2,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_23_abo02,abo,abo02,7/23/2023,2,2023_07_23_abo_r02,multi_s,0,NA,dual,2,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_23_abo02,abo,abo02,7/23/2023,2,2023_07_23_abo_r02,multi_s,0,NA,dual,1,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_23_abo02,abo,abo02,7/23/2023,2,2023_07_23_abo_r02,multi_s,0,NA,dual,3,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_23_abo02,abo,abo02,7/23/2023,2,2023_07_23_abo_r02,multi_s,0,NA,dual,4,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_23_abo03,abo,abo03,7/23/2023,3,2023_07_23_abo_r03,multi_s,0,NA,dual,3,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_23_abo03,abo,abo03,7/23/2023,3,2023_07_23_abo_r03,multi_s,0,NA,dual,4,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_23_abo03,abo,abo03,7/23/2023,3,2023_07_23_abo_r03,multi_s,0,NA,dual,2,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_23_abo03,abo,abo03,7/23/2023,3,2023_07_23_abo_r03,multi_s,0,NA,dual,1,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_23_abo04,abo,abo04,7/23/2023,4,2023_07_23_abo_r04,multi_s,0,NA,dual,4,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_23_abo04,abo,abo04,7/23/2023,4,2023_07_23_abo_r04,multi_s,0,NA,dual,2,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_23_abo04,abo,abo04,7/23/2023,4,2023_07_23_abo_r04,multi_s,0,NA,dual,1,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_23_abo04,abo,abo04,7/23/2023,4,2023_07_23_abo_r04,multi_s,0,NA,dual,3,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo01,abo,abo01,7/25/2023,1,2023_07_25_abo_r01,multi_s,0,NA,dual,1,nac,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo01,abo,abo01,7/25/2023,1,2023_07_25_abo_r01,multi_s,0,NA,dual,3,dms,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo01,abo,abo01,7/25/2023,1,2023_07_25_abo_r01,multi_s,0,NA,dual,4,dls,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo01,abo,abo01,7/25/2023,1,2023_07_25_abo_r01,multi_s,0,NA,dual,2,ts,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo02,abo,abo02,7/25/2023,2,2023_07_25_abo_r02,multi_s,0,NA,dual,2,nac,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo02,abo,abo02,7/25/2023,2,2023_07_25_abo_r02,multi_s,0,NA,dual,1,dms,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo02,abo,abo02,7/25/2023,2,2023_07_25_abo_r02,multi_s,0,NA,dual,3,dls,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo02,abo,abo02,7/25/2023,2,2023_07_25_abo_r02,multi_s,0,NA,dual,4,ts,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo03,abo,abo03,7/25/2023,3,2023_07_25_abo_r03,multi_s,0,NA,dual,3,nac,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo03,abo,abo03,7/25/2023,3,2023_07_25_abo_r03,multi_s,0,NA,dual,4,dms,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo03,abo,abo03,7/25/2023,3,2023_07_25_abo_r03,multi_s,0,NA,dual,2,dls,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo03,abo,abo03,7/25/2023,3,2023_07_25_abo_r03,multi_s,0,NA,dual,1,ts,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo04,abo,abo04,7/25/2023,4,2023_07_25_abo_r04,multi_s,0,NA,dual,4,nac,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo04,abo,abo04,7/25/2023,4,2023_07_25_abo_r04,multi_s,0,NA,dual,2,dms,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo04,abo,abo04,7/25/2023,4,2023_07_25_abo_r04,multi_s,0,NA,dual,1,dls,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_25_abo04,abo,abo04,7/25/2023,4,2023_07_25_abo_r04,multi_s,0,NA,dual,3,ts,NA,NA,30,415; 470,12.68; 9.06,100;100,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo01,abo,abo01,7/26/2023,1,2023_07_26_abo_r01,multi_s,0,NA,dual,2,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo01,abo,abo01,7/26/2023,1,2023_07_26_abo_r01,multi_s,0,NA,dual,1,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo01,abo,abo01,7/26/2023,1,2023_07_26_abo_r01,multi_s,0,NA,dual,3,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo01,abo,abo01,7/26/2023,1,2023_07_26_abo_r01,multi_s,0,NA,dual,4,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo02,abo,abo02,7/26/2023,2,2023_07_26_abo_r02,multi_s,0,NA,dual,3,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo02,abo,abo02,7/26/2023,2,2023_07_26_abo_r02,multi_s,0,NA,dual,4,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo02,abo,abo02,7/26/2023,2,2023_07_26_abo_r02,multi_s,0,NA,dual,2,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo02,abo,abo02,7/26/2023,2,2023_07_26_abo_r02,multi_s,0,NA,dual,1,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo03,abo,abo03,7/26/2023,3,2023_07_26_abo_r03,multi_s,0,NA,dual,4,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo03,abo,abo03,7/26/2023,3,2023_07_26_abo_r03,multi_s,0,NA,dual,2,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo03,abo,abo03,7/26/2023,3,2023_07_26_abo_r03,multi_s,0,NA,dual,1,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo03,abo,abo03,7/26/2023,3,2023_07_26_abo_r03,multi_s,0,NA,dual,3,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo04,abo,abo04,7/26/2023,4,2023_07_26_abo_r04,multi_s,0,NA,dual,1,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo04,abo,abo04,7/26/2023,4,2023_07_26_abo_r04,multi_s,0,NA,dual,3,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo04,abo,abo04,7/26/2023,4,2023_07_26_abo_r04,multi_s,0,NA,dual,4,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_26_abo04,abo,abo04,7/26/2023,4,2023_07_26_abo_r04,multi_s,0,NA,dual,2,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo01,abo,abo01,7/27/2023,1,2023_07_27_abo_r01,multi_s,0,NA,dual,3,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo01,abo,abo01,7/27/2023,1,2023_07_27_abo_r01,multi_s,0,NA,dual,4,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo01,abo,abo01,7/27/2023,1,2023_07_27_abo_r01,multi_s,0,NA,dual,2,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo01,abo,abo01,7/27/2023,1,2023_07_27_abo_r01,multi_s,0,NA,dual,1,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo02,abo,abo02,7/27/2023,2,2023_07_27_abo_r02,multi_s,0,NA,dual,4,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo02,abo,abo02,7/27/2023,2,2023_07_27_abo_r02,multi_s,0,NA,dual,2,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo02,abo,abo02,7/27/2023,2,2023_07_27_abo_r02,multi_s,0,NA,dual,1,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo02,abo,abo02,7/27/2023,2,2023_07_27_abo_r02,multi_s,0,NA,dual,3,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo03,abo,abo03,7/27/2023,3,2023_07_27_abo_r03,multi_s,0,NA,dual,1,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo03,abo,abo03,7/27/2023,3,2023_07_27_abo_r03,multi_s,0,NA,dual,3,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo03,abo,abo03,7/27/2023,3,2023_07_27_abo_r03,multi_s,0,NA,dual,4,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo03,abo,abo03,7/27/2023,3,2023_07_27_abo_r03,multi_s,0,NA,dual,2,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo04,abo,abo04,7/27/2023,4,2023_07_27_abo_r04,multi_s,0,NA,dual,2,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo04,abo,abo04,7/27/2023,4,2023_07_27_abo_r04,multi_s,0,NA,dual,1,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo04,abo,abo04,7/27/2023,4,2023_07_27_abo_r04,multi_s,0,NA,dual,3,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_27_abo04,abo,abo04,7/27/2023,4,2023_07_27_abo_r04,multi_s,0,NA,dual,4,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo01,abo,abo01,7/28/2023,1,2023_07_28_abo_r01,multi_s,0,NA,dual,4,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo01,abo,abo01,7/28/2023,1,2023_07_28_abo_r01,multi_s,0,NA,dual,2,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo01,abo,abo01,7/28/2023,1,2023_07_28_abo_r01,multi_s,0,NA,dual,1,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo01,abo,abo01,7/28/2023,1,2023_07_28_abo_r01,multi_s,0,NA,dual,3,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo02,abo,abo02,7/28/2023,2,2023_07_28_abo_r02,multi_s,0,NA,dual,1,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo02,abo,abo02,7/28/2023,2,2023_07_28_abo_r02,multi_s,0,NA,dual,3,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo02,abo,abo02,7/28/2023,2,2023_07_28_abo_r02,multi_s,0,NA,dual,4,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo02,abo,abo02,7/28/2023,2,2023_07_28_abo_r02,multi_s,0,NA,dual,2,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo03,abo,abo03,7/28/2023,3,2023_07_28_abo_r03,multi_s,0,NA,dual,2,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo03,abo,abo03,7/28/2023,3,2023_07_28_abo_r03,multi_s,0,NA,dual,1,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo03,abo,abo03,7/28/2023,3,2023_07_28_abo_r03,multi_s,0,NA,dual,3,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo03,abo,abo03,7/28/2023,3,2023_07_28_abo_r03,multi_s,0,NA,dual,4,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo04,abo,abo04,7/28/2023,4,2023_07_28_abo_r04,multi_s,0,NA,dual,3,nac,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo04,abo,abo04,7/28/2023,4,2023_07_28_abo_r04,multi_s,0,NA,dual,4,dms,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo04,abo,abo04,7/28/2023,4,2023_07_28_abo_r04,multi_s,0,NA,dual,2,dls,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_28_abo04,abo,abo04,7/28/2023,4,2023_07_28_abo_r04,multi_s,0,NA,dual,1,ts,NA,NA,30,415; 470,7.61; 3.98,55;40,1;2,g;g,0,0,120,10,470,NA,415,0.1,3,4,0,20,10,20,spout_extended,NA
2023_07_29_abo01optostim,abo,abo01,7/29/2023,1,2023_07_29_abo_r01,opto_characterization,0,NA,dual,3,nac,opto_stim,NA,NA,415; 470,7.61; 3.98,55;40,1;2,g;g,20,0,60,0,470,NA,415,0.1,3,4,0,20,10,20,opto_stim,NA
2023_07_29_abo01optostim,abo,abo01,7/29/2023,1,2023_07_29_abo_r01,opto_characterization,0,NA,dual,4,dms,opto_stim,NA,NA,415; 470,7.61; 3.98,55;40,1;2,g;g,20,0,60,0,470,NA,415,0.1,3,4,0,20,10,20,opto_stim,NA
2023_07_29_abo01optostim,abo,abo01,7/29/2023,1,2023_07_29_abo_r01,opto_characterization,0,NA,dual,2,dls,opto_stim,NA,NA,415; 470,7.61; 3.98,55;40,1;2,g;g,20,0,60,0,470,NA,415,0.1,3,4,0,20,10,20,opto_stim,NA
2023_07_29_abo01optostim,abo,abo01,7/29/2023,1,2023_07_29_abo_r01,opto_characterization,0,NA,dual,1,ts,opto_stim,NA,NA,415; 470,7.61; 3.98,55;40,1;2,g;g,20,0,60,0,470,NA,415,0.1,3,4,0,20,10,20,opto_stim,NA
2023_07_29_abo02optostim,abo,abo02,7/29/2023,2,2023_07_29_abo_r02,opto_characterization,0,NA,dual,4,nac,opto_stim,NA,NA,415; 470,7.61; 3.98,55;40,1;2,g;g,20,0,60,0,470,NA,415,0.1,3,4,0,20,10,20,opto_stim,NA
2023_07_29_abo02optostim,abo,abo02,7/29/2023,2,2023_07_29_abo_r02,opto_characterization,0,NA,dual,2,dms,opto_stim,NA,NA,415; 470,7.61; 3.98,55;40,1;2,g;g,20,0,60,0,470,NA,415,0.1,3,4,0,20,10,20,opto_stim,NA
